modelo_true,tipo_ruido,sigma_mass_rel,sigma_time,R_inf_true,k_rect_true,R_inf_est,k_rect_est,bias_R_inf,bias_k_rect,RMSE,R2,AIC,BIC
Klimpel,masa,0.0,0.25,0.9,0.02,0.9000231146953448,0.019998316352176127,2.3114695344772507e-05,-1.6836478238732577e-06,0.000823283729914815,0.9999823600897498,-42625.46308142644,-42613.44967973556
Klimpel,masa,0.01,0.25,0.9,0.02,0.9003918321312511,0.01998772244166216,0.00039183213125104643,-1.2277558337839278e-05,0.0058071769408222,0.9991236715274799,-30900.26232494183,-30888.248923250947
Klimpel,masa,0.03,0.25,0.9,0.02,0.9011299958050647,0.019966537195834452,0.0011299958050646763,-3.3462804165548116e-05,0.017240306494120627,0.9923388688216226,-24369.153092152665,-24357.139690461783
Klimpel,masa,0.05,0.25,0.9,0.02,0.9018691340222321,0.019945355362028,0.0018691340222320996,-5.464463797200114e-05,0.02870455479372493,0.979074023801591,-21309.298856838388,-21297.285455147507
Klimpel,masa,0.1,0.25,0.9,0.02,0.9037212658641394,0.01989241548702197,0.003721265864139345,-0.00010758451297802896,0.0573789170326986,0.9215559178214637,-17152.186876681295,-17140.173474990414
