modelo_true,tipo_ruido,sigma_mass_rel,sigma_time,R_inf_true,alpha_true,theta_true,R_inf_est,alpha_est,theta_est,bias_R_inf,bias_alpha,bias_theta,RMSE,R2,AIC,BIC
Gamma,tiempo,0.03,0.0,0.9,2.0,50.0,0.9009757089515381,1.989699038171886,49.75420508887658,0.0009757089515380901,-0.01030096182811402,-0.24579491112341856,0.02353775481046396,0.9809497906227114,-22499.397155623446,-22481.377053087126
Gamma,tiempo,0.03,0.05,0.9,2.0,50.0,0.9009364908329051,1.9914413894069578,49.80938398592901,0.0009364908329050348,-0.008558610593042193,-0.19061601407099005,0.023542376199953644,0.9809423092736353,-22498.218842003207,-22480.198739466887
Gamma,tiempo,0.03,0.1,0.9,2.0,50.0,0.9008967514874859,1.993215702600104,49.86567854782847,0.0008967514874859139,-0.006784297399895944,-0.1343214521715268,0.02355111836153525,0.9809281529842544,-22495.99048945031,-22477.97038691399
Gamma,tiempo,0.03,0.25,0.9,2.0,50.0,0.900774554801596,1.9987255302302054,50.0411087531542,0.0007745548015959391,-0.0012744697697946172,0.04110875315419804,0.02360198039519104,0.9808456872284611,-22483.042282335748,-22465.022179799427
Gamma,tiempo,0.03,0.5,0.9,2.0,50.0,0.9005618961476569,2.008499682632504,50.354343223164214,0.0005618961476568929,0.008499682632503891,0.3543432231642143,0.023767884087879252,0.9805754607639919,-22441.00044642329,-22422.98034388697
