modelo_true,tipo_ruido,sigma_mass_rel,sigma_time,R_inf_true,alpha_true,theta_true,R_inf_est,alpha_est,theta_est,bias_R_inf,bias_alpha,bias_theta,RMSE,R2,AIC,BIC
Gamma,masa,0.0,0.25,0.9,2.0,50.0,0.8998017112722279,2.0091477526341976,50.29156900857939,-0.00019828872777216677,0.009147752634197648,0.29156900857938695,0.0015576987404104334,0.9999147381588728,-38797.20487144745,-38779.18476891113
Gamma,masa,0.01,0.25,0.9,2.0,50.0,0.9001255127347407,2.0056717739528964,50.20805636421338,0.000125512734740707,0.0056717739528964195,0.2080563642133768,0.008011559176889359,0.9977513123386353,-28967.874538569555,-28949.854436033234
Gamma,masa,0.03,0.25,0.9,2.0,50.0,0.900774554801596,1.9987255302302054,50.0411087531542,0.0007745548015959391,-0.0012744697697946172,0.04110875315419804,0.02360198039519104,0.9808456872284611,-22483.042282335748,-22465.022179799427
Gamma,masa,0.05,0.25,0.9,2.0,50.0,0.9014255142537859,1.9917871045889384,49.8742661805334,0.0014255142537858978,-0.008212895411061627,-0.12573381946660334,0.03927327273006951,0.9487815785923329,-19426.742370686065,-19408.722268149744
Gamma,masa,0.1,0.25,0.9,2.0,50.0,0.9030614139189685,1.9744781626853898,49.45773967364805,0.003061413918968525,-0.02552183731461022,-0.5422603263519505,0.07848744241481012,0.8232223493550298,-15270.990951142538,-15252.970848606217
