tipo_ruido,sigma_mass_rel,sigma_time,modelo,R_inf,k_rect_alpha,theta,RMSE,R2,AIC,BIC
tiempo,0.03,0.0,Klimpel,0.8935418187866178,0.02554907603653971,,0.018750501490755238,0.9907641599945202,-23865.162420800927,-23853.149019110046
tiempo,0.03,0.0,Gamma,0.8816020338084161,1.838786685053617,132.67339856629437,0.018538072174010708,0.9909752552852784,-23932.549595324217,-23914.529492787897
tiempo,0.03,0.05,Klimpel,0.8935443244324099,0.025548762813701678,,0.018753980800613662,0.9907607321042747,-23864.048803624828,-23852.035401933947
tiempo,0.03,0.05,Gamma,0.8815910253851728,1.8390187409287941,132.69206543189512,0.018541721522974276,0.990971701767507,-23931.36817599222,-23913.348073455898
tiempo,0.03,0.1,Klimpel,0.8935469246515169,0.025548432060688853,,0.018759268835094923,0.9907555210020682,-23862.35666639465,-23850.34326470377
tiempo,0.03,0.1,Gamma,0.8815797071288275,1.839257296222359,132.71128549220606,0.01854720349872898,0.990966362432818,-23929.593909485433,-23911.573806949113
tiempo,0.03,0.25,Klimpel,0.8935552928904467,0.025547334598729547,,0.018785970286302286,0.9907291855749705,-23853.819651267517,-23841.806249576635
tiempo,0.03,0.25,Gamma,0.8815441223522591,1.8400083317267746,132.7720061441087,0.018574628394668335,0.9909396274335525,-23920.725583383017,-23902.705480846696
tiempo,0.03,0.5,Klimpel,0.8935711230496818,0.025545155812328975,,0.018866405316706043,0.9906496267723329,-23828.176021661584,-23816.162619970703
tiempo,0.03,0.5,Gamma,0.8814798387262305,1.841370661652558,132.8828835727368,0.01865672619319755,0.9908593587505434,-23894.25586231752,-23876.2357597812
